GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
WL_GPIO0,EXT_GPIO0
WL_GPIO1,EXT_GPIO1
WL_GPIO2,EXT_GPIO2
LED,EXT_GPIO0
A1,GPIO0
A2,GPIO1
B1,GPIO2
B2,GPIO3
C1,GPIO28
C2,GPIO22
D1,GPIO4
D2,GPIO5
E1,GPIO6
E2,GPIO7
F1,GPIO26
F2,GPIO27
G1,GPIO16
G2,GPIO17
H1,GPIO18
H2,GPIO19
SERVO1,GPIO8
SERVO2,GPIO9
SERVO3,GPIO12
BUTTON_LEFT,GPIO20
BUTTON_RIGHT,GPIO21